Zip,Household Median,Family Median,Married Couple Median,Nonfamily Household Median,Household Mean,Family Mean,Married Couple Mean,Nonfamily Mean
97622,43571,43155,45000,-,41900,41960,N,36080
97623,42905,41250,52950,41094,53569,58395,N,43032
97624,37689,46197,46549,23818,49242,56977,N,33012
97625,60536,155833,156111,30583,94381,137505,N,28465
97626,-,-,-,-,N,-,-,N
97627,56196,70481,72760,-,62027,73011,N,10379
97630,41291,54763,76895,27159,54779,66438,N,34713
97632,47917,55929,60250,29779,63468,70111,N,36129
97633,45298,47467,58750,27194,60729,68269,N,36279
97634,36500,32000,-,-,50265,54150,N,N
97635,26250,-,-,28021,27910,31261,N,25970
97636,45938,51765,60125,26250,50854,61657,N,29288
97637,37292,60625,60625,32500,42382,49097,N,33532
97638,40417,56125,56125,-,43409,48398,N,24598
97639,40658,41974,48913,-,93131,96917,N,72006
97640,-,-,-,28889,54427,70133,N,48538
97641,28322,32168,40108,14250,41451,55020,N,18301
97701,65211,80514,92098,40627,90896,107982,N,57217
97702,66848,76938,86011,43052,88612,100438,N,57336
97707,66186,68750,73384,34839,76554,85107,N,48262
97710,88750,91250,91250,-,104606,111017,N,66856
97711,53750,-,-,-,64938,78037,N,N
97712,-,-,-,-,N,N,N,N
97720,39205,43143,49009,31987,54052,60716,N,38927
97721,41429,48333,51250,21000,64060,84520,N,33373
97722,56641,56667,56786,-,61502,61648,N,N
97730,77917,86250,86750,-,101110,109165,N,47093
97731,29167,37443,40268,21023,40472,55833,N,21144
97732,60000,60000,54250,56250,62943,69486,N,49857
97733,35795,39438,-,-,42807,49801,N,32466
97734,55691,61875,72917,30375,66703,75008,N,38938
97735,30714,32885,32885,-,27127,32107,N,N
97736,73333,74375,130000,35938,76850,83133,N,53811
97737,39931,39375,39306,52955,49507,51354,N,45217
97738,53438,68646,71644,28824,59316,64954,N,41814
97739,49816,55128,55938,21850,55296,60518,N,35267
97741,47055,62559,77612,26552,61368,72495,N,34521
97750,35625,73125,73906,24375,57951,80069,N,22728
97751,-,-,-,-,46680,76640,N,N
97752,-,-,-,-,-,-,-,-
97753,92849,93535,94422,39426,105210,113029,N,48388
97754,41255,55805,62058,25713,54474,62581,N,34194
